Ação;Empresa;Preço;Margem EBIT;P/VPA;EV/EBIT;Div.Yield;Volume Financ.(R$)
MRSA6B;MRS LOGIST;23,06;29,39%;1,43;7,48;0,00%;71
MRSA5B;MRS LOGIST;23,06;29,39%;1,43;7,48;0,00%;232
MRSA3B;MRS LOGIST;26;29,39%;1,61;7,48;0,00%;277
MRFG3;MARFRIG;7,74;11,48%;0,18;3,56;33,44%;130.081.315
MOVI3;MOVIDA;6,52;29,50%;0,85;5,58;21,81%;39.639.975
MOAR3;MONT ARANHA;476;301410,87%;7,05;42,55;4,12%;281.230
MNZC3B;MENEZES CORT;NA;30,45%;NA;NA;NA;0
MNPR3;MINUPAR;6,01;19,95%;-0,13;0,59;0,00%;35.823
MNDL3;MUNDIAL;37,5;13,16%;-0,12;4,4;0,00%;59.653
MMXM3;MMX MINER;14;NA;-0,11;-746,77;0,00%;0
MMXM11;MMX MINER;2,1;NA;-0,02;-746,77;0,00%;0
MMAQ4;MINASMAQUINA;NA;7,64%;NA;NA;NA;0
MMAQ3;MINASMAQUINA;NA;7,64%;NA;NA;NA;0
MLAS3;MULTILASER;3,01;10,82%;0,58;5,94;4,09%;8.435.417
MILS3;MILLS;9,32;28,58%;1,9;8,67;2,13%;13.771.092
MGLU3;MAGAZ LUIZA;2,37;0,70%;1,48;84,21;0,00%;741.090.372
MGEL4;MANGELS INDL;12,2;12,48%;-0,37;5,81;0,00%;27.569
MGEL3;MANGELS INDL;NA;12,48%;NA;5,81;NA;0
MELK3;MELNICK;3,03;8,39%;0,49;4,85;9,20%;1.130.644
MEGA3;OMEGAENERGIA;9,08;57,94%;1,35;10,93;0,00%;15.991.270
MEAL3;IMC S/A;2,71;0,96%;0,73;48,27;0,00%;4.332.228
MDNE3;MOURA DUBEUX;5,32;11,76%;0,39;3,82;0,00%;1.577.853
MDIA3;M.DIASBRANCO;36,53;6,84%;1,88;21,5;0,00%;49.269.134
MBLY3;MOBLY;2,68;-14,05%;0,5;-2,63;0,00%;4.338.490
MATD3;MATER DEI;6,28;18,93%;1,4;10,78;1,43%;4.565.534
MAPT4;CEMEPE;10,21;NA;-1,54;-125,2;0,00%;83
MAPT3;CEMEPE;37,5;NA;-5,67;-125,2;0,00%;0
LWSA3;LOCAWEB;6,75;2,33%;1,35;105,57;0,00%;87.943.386
LVTC3;WDC NETWORKS;5,5;10,16%;0,55;1,62;3,16%;1.074.577
LUXM4;TREVISA;79,9;15,07%;3,85;20,06;0,87%;88.809
LUXM3;TREVISA;NA;15,07%;NA;20,06;NA;0
LUPA3;LUPATECH;3,61;-28,85%;0,96;-7,27;0,00%;6.818.754
LTLA3B;LITELA;NA;NA;NA;NA;NA;0
LTEL3B;LITEL;NA;NA;NA;NA;NA;0
LREN3;LOJAS RENNER;19,44;9,89%;1,97;14,07;3,15%;365.594.407
LPSB3;LOPES BRASIL;1,49;13,34%;1,11;5,93;5,07%;818.521
LOGN3;LOG-IN;29,52;17,05%;5,38;12,28;0,00%;6.858.653
LOGG3;LOG COM PROP;14,51;260,16%;0,4;6,07;5,97%;7.721.986
LMED3;LIFEMED;NA;22,28%;NA;NA;NA;0
LLIS3;LE LIS BLANC;1,62;-55,44%;-1,97;-5,44;0,00%;446.773
LLBI3;LE BISCUIT;NA;-11,09%;NA;NA;NA;0
LJQQ3;QUERO-QUERO;3,99;4,30%;1,44;6,86;3,08%;17.226.925
LIPR3;ELETROPAR;70;NA;3,83;35,32;2,60%;2.129
LIGT3;LIGHT S/A;4,56;10,91%;0,2;6,3;5,56%;23.145.514
LEVE3;METAL LEVE;27,66;17,59%;2,16;5,16;15,19%;5.206.158
LAVV3;LAVVI;4,42;16,60%;0,72;4,69;13,65%;4.709.868
LAND3;TERRASANTAPA;27,68;69,64%;3,79;32,45;0,74%;1.459.785
KRSA3;KORA SAUDE;1,18;10,36%;0,71;14,82;0,00%;242.041
KLBN4;KLABIN S/A;4,07;37,96%;2,08;5,97;7,26%;9.099.070
KLBN3;KLABIN S/A;4,05;37,96%;2,07;5,97;7,29%;2.156.494
KLBN11;KLABIN S/A;20,24;37,96%;2,07;5,97;7,29%;139.170.033
KEPL3;KEPLER WEBER;19,04;28,11%;2,71;3,21;10,48%;24.662.864
JSLG3;JSL;5,35;12,38%;1,1;7,28;7,01%;3.293.057
JOPA4;JOSAPAR;37,5;5,41%;0,52;7,35;2,43%;340
JOPA3;JOSAPAR;21,7;5,41%;0,3;7,35;3,81%;11.429
JHSF3;JHSF PART;4,55;48,61%;0,61;5,17;3,53%;14.672.352
JFEN3;JOAO FORTES;0,54;-801,66%;-0,08;-4,68;0,00%;132.561
JBSS3;JBS;20,42;8,29%;0,95;3,91;9,79%;192.676.055
JALL3;JALLESMACHAD;7;42,53%;1,23;4,58;2,54%;4.530.846
IVPR4B;INVEPAR;NA;99,86%;NA;NA;NA;0
IVPR3B;INVEPAR;NA;99,86%;NA;NA;NA;0
ITSA4;ITAUSA;8,05;170,30%;1,05;5,86;4,92%;266.107.776
ITSA3;ITAUSA;8,63;170,30%;1,12;5,86;4,59%;2.331.016
INTB3;INTELBRAS;27,01;10,95%;4,11;20,04;1,35%;38.369.791
INNT3;INTER SA;NA;15,66%;NA;NA;NA;0
